ID,Title,Area,Priority,Status,Date Added,Date Completed,Notes
1,Snowflake query_history lineage connector,Lineage,High,Backlog,2026-05-13,,"Pull from SNOWFLAKE.ACCOUNT_USAGE.QUERY_HISTORY to derive lineage from actual SQL execution. Biggest single lift to close the lineage gap vs Atlan/Alation. Needs a SQL parser (sqlglot) noise filtering credentials with ACCOUNT_USAGE access and pagination + incremental ingest."
2,Column-level lineage from dbt manifest,Lineage,Medium,Backlog,2026-05-13,,"Today's edges are table-to-table. dbt manifest has columns metadata; parsing compiled_code lets us derive column-level edges. Needs SQL parser. Mostly valuable for impact analysis."
3,Migrate dbt Cloud token storage to secret manager,Production,High,Backlog,2026-05-13,,"Tokens currently stored plaintext in JSON store. API already strips token from responses and uses hasToken flag - the swap won't break the client contract. Documented in dbt-cloud-connections.ts header."
4,Replace setInterval scheduler with job queue,Production,Medium,Backlog,2026-05-13,,"60s setInterval is fine for prototype but production should front this with BullMQ / AWS EventBridge / similar so backend restart doesn't reset cadence. Applies to both DQ scheduler and dbt Cloud polling."
5,One-click pause toggle for dbt Cloud schedule,Lineage,Low,Backlog,2026-05-13,,"Users currently switch frequency to NEVER to stop polling. A pause toggle that preserves the cadence would be friendlier."
6,RACI: multiple A's per row possible,RACI bug,Medium,Complete,2026-05-13,2026-05-13,"Fixed in dashboard.ts: post-derivation pass picks one A per row deterministically (override > alphabetical by name) and demotes the rest to R with an explanatory reason. Applies to both business and governance rows."
7,RACI: TASK-level nodes silently dropped,RACI bug,Medium,Complete,2026-05-13,2026-05-13,"Fixed in dashboard.ts: row filter now keeps every node level except EXECUTION (which is run-time logging not planning). DOMAIN CAPABILITY and TASK are now visible in the matrix."
8,RACI: deleted people still appear as columns,RACI bug,Low,Won't Do,2026-05-13,2026-05-13,"False alarm in the original audit - people are hard-deleted from the people array (people.ts:419) so filteredPeople.filter excludes them. Orphan asset.owner / override references don't manifest as columns. Reopen if a soft-delete is ever added."
9,RACI: loose substring matching for governance process names,RACI bug,Low,Complete,2026-05-13,2026-05-13,"Fixed in dashboard.ts: switched from .includes() to case-insensitive trimmed equality. A typo in the process name now cleanly breaks the mapping instead of silently pulling in wrong group members."
10,RACI: Hide-Empty doesn't hide truly empty rows,RACI,Low,Complete,2026-05-13,2026-05-13,"Fixed in RaciMatrixPage.tsx: when Hide-Empty is on rows with no assignment in any active column are filtered out. Parents are kept either way so the tree never orphans visible children."
11,PDF export from Export menu,Catalog UX,Medium,Backlog,2026-05-13,,"Deferred from the original export work. Two paths: client-side jspdf+autotable for tabular pages or server-side Puppeteer for full executive-dashboard PDFs with branding."
12,Comments: deeper threading,Comments,Low,Backlog,2026-05-13,,"v1 is one-level-deep threading (parentId nullable). Deeper would change render but not data shape."
13,Comments: email notifications for @mentions,Comments,Medium,Backlog,2026-05-13,,"In-app notification only today. Needs SMTP config and unsubscribe handling."
14,Tier-label reactivity on 4 helper-based pages,Plain/DAMA,Low,Backlog,2026-05-13,,"DataDictionary GapDetection ProcessCatalog EnterpriseView still call static tierLabel() from module-level helpers - they don't react to the Plain/DAMA toggle. Need refactor to accept a tierLabel function or convert helpers to components."
15,WhereUsed panel on Activity and Person detail,Cross-layer,Medium,Backlog,2026-05-13,,"WhereUsed exists on System detail and Data Asset detail. Extending to Activity detail (process node) and Person detail would complete cross-layer coverage."
16,Activity feed pagination improvements,Activity feed,Low,Backlog,2026-05-13,,"Current 'Show more' is a single expand. Real pagination with cursors for entities with thousands of events."
17,Per-person activity feed on Dashboard customize,Activity feed,Low,Backlog,2026-05-13,,"Dashboard 'Customize' could let users add their own person-scoped activity feed as a section."
18,Saved views: column-visibility integration,Saved Views,Medium,Backlog,2026-05-13,,"v1 deliberately omitted column visibility from saved views since useColumnPicker persists separately to localStorage. Consolidating would be nicer but needs a sync strategy."
19,Saved views: roll out to remaining tree-based pages,Saved Views,Low,Backlog,2026-05-13,,"Mappings Organizations ProcessCatalog GovernanceGroups skipped - they're tree-based without flat filter state. If they later get filter state add the menu."
20,Granular tier-label / terminology toggle granularity,Plain/DAMA,Low,Backlog,2026-05-13,,"Today the toggle flips everything. Some users may want Custodian -> Operator but keep Governance Tier as-is. Per-term overrides would help."
21,Dashboard heading audit + a11y polish,A11y,Low,Backlog,2026-05-13,,"The first a11y audit found multiple-h1 'false alarms' (different render branches). A second pass should still verify intra-render heading-level hierarchy doesn't skip h2 to h4."
22,Skip-to-content target on detail modals,A11y,Low,Backlog,2026-05-13,,"Detail modals scroll vertically; long ones could use an in-modal 'skip to comments' anchor like the page-level skip-to-content link."
23,Snowflake / Databricks / BigQuery connectors (beyond dbt),Lineage,Medium,Backlog,2026-05-13,,"Catch-all for additional auto-lineage sources. After Snowflake query_history is in others fall under the same pattern: source-specific fetcher feeds reconcileDbtManifest's sibling reconciler."
24,Lineage-aware impact analysis,Lineage,Medium,Backlog,2026-05-13,,"Given an asset show its downstream blast radius. WhereUsed shows direct relations; this walks the graph N hops out."
25,High-contrast theme manual toggle,A11y,Low,Backlog,2026-05-13,,"Today's high-contrast adjustments fire only via prefers-contrast / forced-colors media queries (OS preference). A manual app-level toggle would let users opt in regardless of OS."
26,Unified roleAssignments data model (Option B),Roles,Medium,Backlog,2026-05-14,,"Option B from the role-library design conversation. Procela now has a unified role LIBRARY (lib/roleDefinitions.ts covers governance + entity-attached roles) but the data model still scatters role ownership across foreign keys on different entities (System.ownerPersonId asset.stewardIds etc). A unified roleAssignments store keyed by {roleType scopeType scopeId holderId} would enable cross-role queries (show everything Eleanor is on the hook for) role-expiration policies and a single audit point for role changes. Real migration work - touches every system/asset/domain endpoint and several frontend forms; worth doing once a use case forces it but not before."
27,Scope-aware 'Currently held by' in Role Detail drawer,Roles,Low,Backlog,2026-05-14,,"For entity-attached roles the drawer currently lists every holder across the org. When the drawer opens from a specific entity (e.g. clicking System X's Owner badge) it'd be more useful to scope holders to that entity. Requires threading the scope context through the roleDrawerStore so the drawer knows ""only show this system's owner"" vs ""everyone who is a System Owner anywhere""."
28,Server-side enrichment for entity-role holders,Roles,Low,Backlog,2026-05-14,,"The drawer makes a separate /people fetch to resolve names for entity-attached role holders. /dama-roles already enriches with personName server-side; adding a /roles/:roleType/holders?orgId= endpoint that does the same join centrally would save the extra roundtrip and unify the enrichment story."
